schema_version,question_id,scope_version,question,category,answerable,expected_answer_points,relevant_video_ids,relevant_time_ranges,review_status,reviewer,review_notes
chunking_evaluation_question_v1,mit60001-q-001,mit_60001_fall_2016_v1,"According to the course introduction, what learning goals are introduced for students?",factual,True,[],[],[],draft,unassigned,"Candidate wording revised to require course-source evidence; source and evidence have not been verified."
chunking_evaluation_question_v1,mit60001-q-002,mit_60001_fall_2016_v1,"What does the course say students should do to practice programming effectively?",factual,True,[],[],[],draft,unassigned,"Candidate only; source and evidence have not been verified."
chunking_evaluation_question_v1,mit60001-q-003,mit_60001_fall_2016_v1,"How does Python use variable names in different scopes?",concept_explanation,True,[],[],[],draft,unassigned,"Rewritten after human candidate review: focus on variable names across scopes; source and evidence have not been verified."
chunking_evaluation_question_v1,mit60001-q-004,mit_60001_fall_2016_v1,"What is the difference between assignment (=) and equality (==) in Python?",concept_explanation,True,[],[],[],draft,unassigned,"Rewritten after human candidate review: distinguish assignment from the equality operator; source and evidence have not been verified."
chunking_evaluation_question_v1,mit60001-q-005,mit_60001_fall_2016_v1,"According to the course, why does a recursive function require a base case?",concept_explanation,True,[],[],[],draft,unassigned,"Candidate wording revised to require course-source evidence; source and evidence have not been verified."
chunking_evaluation_question_v1,mit60001-q-006,mit_60001_fall_2016_v1,"According to the lecture, how is the efficiency of an algorithm explained?",concept_explanation,True,[],[],[],draft,unassigned,"Candidate wording revised to require lecture-source evidence; source and evidence have not been verified."
chunking_evaluation_question_v1,mit60001-q-007,mit_60001_fall_2016_v1,"What value is bound to a name after an assignment statement is evaluated?",code_behavior,True,[],[],[],draft,unassigned,"Candidate only; source and evidence have not been verified."
chunking_evaluation_question_v1,mit60001-q-008,mit_60001_fall_2016_v1,"Why can rebinding a variable name leave the previous object unchanged?",code_behavior,True,[],[],[],draft,unassigned,"Candidate only; source and evidence have not been verified."
chunking_evaluation_question_v1,mit60001-q-009,mit_60001_fall_2016_v1,"According to the course, how are local variables created and used during a function call?",code_behavior,True,[],[],[],draft,unassigned,"Candidate wording narrowed to local variables and requires course-source evidence; source and evidence have not been verified."
chunking_evaluation_question_v1,mit60001-q-010,mit_60001_fall_2016_v1,"What is the difference between mutable and immutable objects?",confusable,True,[],[],[],draft,unassigned,"Candidate only; source and evidence have not been verified."
chunking_evaluation_question_v1,mit60001-q-011,mit_60001_fall_2016_v1,"How does the course compare recursion and iteration for solving problems?",confusable,True,[],[],[],draft,unassigned,"Candidate wording approved by human content review; source and evidence have not been verified."
chunking_evaluation_question_v1,mit60001-q-012,mit_60001_fall_2016_v1,"How would I use asyncio to run several network requests concurrently in Python?",out_of_scope,False,[],[],[],draft,unassigned,"Out-of-scope candidate; no corpus evidence should be attached."
chunking_evaluation_question_v1,mit60001-q-013,mit_60001_fall_2016_v1,"How do I deploy a Python web application to Kubernetes?",out_of_scope,False,[],[],[],draft,unassigned,"Out-of-scope candidate; no corpus evidence should be attached."
chunking_evaluation_question_v1,mit60001-q-014,mit_60001_fall_2016_v1,"What is the difference between a Python list and a dictionary?",concept_explanation,True,[],[],[],draft,unassigned,"Candidate only; source and evidence have not been verified."
