scope_version,playlist_id,playlist_position,video_id,title,included
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,0,nykOeWgQcHM,1. What is Computation?,True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,1,Y6J8I056Ffw,Shell vs. Editor,True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,2,F-_PKUUM-qY,Python vs. Math,True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,3,EFCdr_43qmU,Bindings,True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,4,0jljZRnHwOI,2. Branching and Iteration,True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,5,w4uxYDPsjbw,Strings,True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,6,lniF6ys2CIk,Comparisons,True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,7,jjbWNcIjmzc,Branching,True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,8,P-0w8xWcnDQ,While Loops,True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,9,mrvBnZIEsZY,For Loops,True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,10,SE4P7IVCunE,"3. String Manipulation, Guess and Check, Approximations, Bisection",True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,11,-jjUoTiaSHw,String Manipulations,True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,12,4WtaFLayz_w,For Loops With Strings,True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,13,MjbuarJ7SE0,"4. Decomposition, Abstraction, and Functions",True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,14,4gPwo38MNss,Function Calls,True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,15,QaOHeMnpnmU,Functions as Arguments,True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,16,RvRKT-jXvko,"5. Tuples, Lists, Aliasing, Mutability, and Cloning",True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,17,ncpb4wIsQu8,Tuples,True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,18,zYVWQpCitKQ,Simple Lists,True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,19,SrkqbLOQcEo,List Operations,True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,20,FKp-6sojt9A,List Aliasing/Mutation,True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,21,WPSeyjX1-4s,6. Recursion and Dictionaries,True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,22,9H6muyZjms0,"7. Testing, Debugging, Exceptions, and Assertions",True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,23,5McjE8e5gIg,Black Box and Glass Box Testing,True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,24,-wz4iU2V-Yo,Errors,True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,25,0Whyfs88TYE,Exceptions,True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,26,-DP1i2ZU9gk,8. Object Oriented Programming,True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,27,vqn_yk5aFcI,Class Definition,True
